,Winter,Fall,Summer,Spring,Hot,Sunny,Rainy,Cold,Snowy,Cloudy,Breezy
Song,,,,,,,,,,,
Bad Habit by Steve Lacy,no,No,yes,Yes,yes,Yes,no,no,No,no,yes
cz by Mk.gee,no,No,yes,No,yes,Yes,yes,no,No,no,no
Overtime (pt 1) by Mk.gee,yes,No,no,Yes,yes,yes,no,no,No,no,yes
I CARE by Turnstile,yes,No,yes,Yes,yes,Yes,no,yes,No,yes,no
I Wanna be Adored by The Stone Roses,yes,no,Yes,No,Yes,Yes,yes,yes,No,yes,Yes
(Donâ€™t Fear) The Reaper by Blue Oyster Cult,no,No,No,No,No,No,yes,Yes,Yes,Yes,Yes
Sunday by Yuck,yes,Yes,yes,No,yes,No,yes,yes,Yes,yes,yes
September Again by Nation of Language,yes,Yes,yes,Yes,yes,Yes,yes,no,no,yes,no
SPEED DEMON by Justin Bieber,no,No,yes,No,yes,Yes,no,no,No,no,yes
Teen Need by New Look,no,No,yes,Yes,yes,Yes,Yes,Yes,No,no,yes
PETTING ZOO by Justin Bieber,yes,No,no,No,no,No,yes,Yes,No,yes,yes
Be Apart by Porches,Yes,No,yes,No,No,Yes,Yes,Yes,No,Yes,Yes
Okay by Porches,no,No,yes,Yes,yes,Yes,no,no,No,no,Yes
Corinne by Metronomy,no,No,yes,Yes,yes,Yes,no,no,No,no,yes
Marinade by DOPE LEMON,yes,No,yes,No,yes,Yes,yes,yes,Yes,yes,yes
Lovers Carvings by Bibio,No,No,yes,Yes,Yes,Yes,yes,No,No,No,yes
Incinerate by Sonic Youth,yes,No,yes,Yes,yes,Yes,yes,yes,Yes,no,no
Empathy by Crystal Castles,yes,No,no,No,no,No,yes,Yes,Yes,yes,no
FOOL by Jan Romina,no,No,yes,No,yes,Yes,no,no,No,no,No
Spell #6 by Part Time,Yes,No,No,Yes,yes,Yes,Yes,Yes,No,Yes,Yes
Thieves Like Us by New Order,No,No,yes,Yes,No,No,No,Yes,Yes,Yes,Yes
Hypernight by Title Fight,yes,No,no,No,No,No,No,Yes,Yes,Yes,yes
Like You by Dux Content,No,No,Yes,Yes,Yes,Yes,no,Yes,No,No,No
Are You Looking Up by Mk.gee,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Are You with Me Now? By Cate Le Bon,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
Marilyn by Mount Kimbie,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
DAISIES by Justin Bieber,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes
YUKON by Justin Bieber,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,yes
Die Hard by Kendrick Lamar,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes
Drawn (feat. Little Dragon) by De La Soul,No,No,Yes,No,No,Yes,No,No,No,No,Yes
SLOWDIVE by Turnstile,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No
Lady Daydream by Twin Sister,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Goodie Bag by Still Woozy,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Visions of Your Reality by Ultimate Spinach,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes
How to Fly by Sticky Fingers,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
Baby I'm Bleeding by JPEGMAFIA,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes
"Paycheck, Raincheck by Isaac Winemiller",Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
Start a War by The National,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Everything Goes My Way by Metronomy,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
"Undercurrent by Toro y Moi, Don Toliver & Porches",Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No
Green Eyes by Wavves,No,No,Yes,No,Yes,Yes,No,No,No,No,No
Heaven's Only Wishful by MorMor,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
What Once Was by Her's,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
A Pearl by Mitski,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes
Scratchcard Lanyard by Dry Cleaning,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Redbone by Childish Gambino,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No
